sample	caller
BS_FQ2ZBMPA	gatk
BS_FR9R7VFY	cnvkit
BS_FR9R7VFY	gatk
BS_FSM39DXA	gatk
BS_FSNCPJJF	freec
BS_FSNCPJJF	gatk
BS_FT95T4YP	gatk
BS_FV0C303D	freec
BS_FV0C303D	gatk
BS_FVPMPMRJ	gatk
BS_FVYBGMG1	cnvkit
BS_FVYBGMG1	gatk
BS_FWCKP4X1	gatk
BS_FXDY881S	gatk
BS_FXG6F3NN	freec
BS_FXG6F3NN	gatk
BS_FYJMNRGK	freec
BS_FYJMNRGK	gatk
BS_G12HNXYX	gatk
BS_G16NM5WJ	gatk
BS_G2016BE5	gatk
BS_G4EX0H98	freec
BS_G4EX0H98	gatk
BS_G4W213NW	gatk
BS_G61CN2V0	gatk
BS_G65EA38C	gatk
BS_G6ASNYWP	cnvkit
BS_G6ASNYWP	gatk
BS_G9MQM1KK	gatk
BS_GAA327FP	gatk
BS_GAA781GQ	gatk
BS_GBS4JMAZ	freec
BS_GBS4JMAZ	gatk
BS_GCQEB05M	gatk
BS_GDPZN3SD	gatk
BS_GFN4FETJ	cnvkit
BS_GFN4FETJ	freec
BS_GFN4FETJ	gatk
BS_GFS9JEE6	gatk
BS_GKN0B47F	gatk
BS_GKPVZXYP	gatk
BS_GMQZNQH8	gatk
BS_GNETMRJF	freec
BS_GNETMRJF	gatk
BS_GPNWSW71	gatk
BS_GPXZ2NQB	gatk
BS_GRECE8Q9	gatk
BS_GRS3T427	gatk
BS_GS9JCK55	freec
BS_GS9JCK55	gatk
BS_GTAJFTTR	gatk
BS_GWPJKM7G	gatk
BS_GXACEYKB	freec
BS_GXACEYKB	gatk
BS_GZ39V8AK	freec
BS_GZ39V8AK	gatk
BS_GZG7GH62	gatk
BS_H0638GZT	gatk
BS_H0MVFRCE	freec
BS_H0MVFRCE	gatk
BS_H174820R	gatk
BS_H18ZNTNR	cnvkit
BS_H18ZNTNR	freec
BS_H18ZNTNR	gatk
BS_H1K33JVK	gatk
BS_H1MNXNHB	gatk
BS_H2K7XX4X	gatk
BS_H50HR85Y	freec
BS_H50HR85Y	gatk
BS_H68W3CE8	gatk
BS_H7T26DMD	freec
BS_H7T26DMD	gatk
BS_H83DTMT2	gatk
BS_H8E4K1DT	gatk
BS_H8MAKDRB	gatk
BS_H8NWA41N	gatk
BS_H915DJY3	gatk
BS_HBAKYKQM	freec
BS_HBAKYKQM	gatk
BS_HC4T1EEP	gatk
